city,state,pricesept2021,gdp,violentcrime2019,logPrice,logGDP,logCrime
Anchorage, AK,1090,23.245,3.581,6.993932975,3.146090055,1.275642091
Chandler, AZ,1450,237.47,0.593,7.279318835,5.4700413,-0.52256088
Gilbert, AZ,1660,237.47,0.245,7.414572881,5.4700413,-1.406497068
Glendale, AZ,1130,11.0377,0.863,7.029972912,2.401316686,-0.147340588
Mesa, AZ,1160,237.47,1.953,7.056175284,5.4700413,0.669366652
Phoenix, AZ,1260,237.473,11.803,7.138867,5.470053933,2.468353736
Scottsdale, AZ,1850,11.3208,0.415,7.522940918,2.426641742,-0.879476759
Tucson, AZ,840,42.169,3.775,6.733401892,3.741685354,1.328400383
Anaheim, CA,1820,24.3504,1.12,7.50659178,3.192548276,0.113328685
Bakersfield, CA,950,51.417,1.766,6.856461985,3.939968857,0.568717102
Fresno, CA,1160,46.009,0.243,7.056175284,3.82883703,-1.414693836
Long Beach, CA,1630,32.198,2.369,7.396335294,3.471904339,0.862467925
Los Angeles, CA,2100,960.25,29.4,7.649692624,6.867193667,3.380994674
Oakland, CA,2000,531.273,5.52,7.60090246,6.275276013,1.70837786
Sacramento, CA,1430,132.502,3.223,7.265429723,4.88659774,1.170312603
San Diego, CA,2100,222.273,5.215,7.649692624,5.403906356,1.651539088
San Francisco, CA,2800,531.247,5.933,7.937374696,6.275227073,1.780529987
San Jose, CA,2200,320.444,4.559,7.696212639,5.769707534,1.517103301
Santa Ana, CA,1810,22.9571,1.453,7.501082124,3.133627257,0.373630385
Aurora, CO,1200,202.456,2.799,7.090076836,5.310522579,1.029262211
Colorado Springs, CO,1090,34.323,2.806,6.993932975,3.535815683,1.031759982
Denver, CO,1610,202.456,5.459,7.383989458,5.310522579,1.697265623
Washington, DC,2210,492.13,6.896,7.700747795,6.198742909,1.930941533
Fort Lauderdale, FL,1740,327.129,1.098,7.461640392,5.790354589,0.093490343
Jacksonville, FL,1050,75.768,5.886,6.956545443,4.32767604,1.77257665
Miami, FL,1970,327.129,2.85,7.585788822,5.790354589,1.047318994
Orlando, FL,1400,128.416,2.157,7.244227516,4.855274994,0.768718367
St Petersburg, FL,1470,148.372,1.594,7.29301768,4.999722634,0.46624658
Tallahassee, FL,810,16.622,1.359,6.697034248,2.810727119,0.306749135
Tampa, FL,1410,148.372,1.622,7.251344983,4.999722634,0.483659956
Atlanta, GA,1640,371.827,0.262,7.402451521,5.918428692,-1.339410775
Augusta, GA,870,25.428,0.656,6.768493212,3.235850929,-0.42159449
Honolulu, HI,1530,61.094,2.638,7.333023014,4.112413662,0.970021054
